pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracBkgdKeys.rt,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,contBkgdKeys.rt,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,bkgdKeys4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,revolt,joiner,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/apathy_touch_edited.mp4,virile,apathy,None,,,,,,,,,,,0,27,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['r'], revolt,"['r', 'e', 'o', 'l', 'backspace', 'backspace', 'v', 'o', 'l', 't', 'return']","[0.33065770007669926, 0.3942003999836743, 0.5060771000571549, 0.6740990001708269, 0.9302751000504941, 1.122637800173834, 1.25038760015741, 1.3224914001766592, 1.4741936000064015, 1.5702764000743628, 1.706561699975282]",[2.333157100016251],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,deduct,jailer,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/nettle_TT_3X.mp4,plasma,nettle,None,,,,,,,,,,,0,28,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, deduct,"['d', 'e', 'd', 'u', 'c', 't', 'return']","[0.3914616999682039, 0.5753975000698119, 0.6794290000107139, 0.8311902000568807, 0.959591899998486, 1.1591882000211626, 1.2634366999845952]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,jargon,oppose,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/ghetto_touch_edited.mp4,frugal,ghetto,None,,,,,,,,,,,0,29,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, jargon,"['j', 'a', 'r', 'g', 'o', 'n', 'return']","[0.3005404998548329, 0.39673969987779856, 0.43651569983921945, 0.628586599836126, 0.6926517998799682, 0.8526528000365943, 1.0606241999194026]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,,,,,,,,,,,,,,,,,,,,typingRatingScale.png,"How would you rate your typing performance in the previous section?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['5'],[18.204742500092834],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,,,,,,,,,,,,,,,,,,,,imageryCheckScale.png,"In the previous section did you imagine yourself typing?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['1'],[15.351167199900374],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,brazen,fungal,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/mucous_TT_3X.mp4,subtle,mucous,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"['b', 'u', 't', 't', 'e', 'r', 'return']","[0.6699276999570429, 0.9020382000599056, 1.3018654000479728, 1.4142569000832736, 1.6057979001197964, 1.6861344000790268, 1.8220427001360804]",None, subtle,"['s', 'u', 'b', 't', 'l', 'e', 'return']","[0.4479802001733333, 0.5601800000295043, 0.7840524001512676, 0.9283517999574542, 1.0324536000844091, 1.1842439000029117, 1.3360512000508606]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,parole,hamlet,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/shroud_touch_edited.mp4,jackal,shroud,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, jackal,"['j', 'a', 'c', 'k', 'a', 'l', 'return']","[0.4078126000240445, 0.5356991000007838, 0.6641311999410391, 0.7676773001439869, 0.9361823000945151, 1.063641200074926, 1.4877766999416053]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,critic,binder,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/tamper_touch_edited.mp4,confer,tamper,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, confer,"['c', 'o', 'n', 'f', 'e', 'r', 'return']","[0.8880044999532402, 0.9921109999995679, 1.2081963999662548, 1.3119399000424892, 1.4478954998776317, 1.5439641999546438, 1.704009999986738]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,manure,girdle,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/linear_TT_3X.mp4,belfry,linear,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, belfry,"['b', 'e', 'l', 'f', 'r', 'y', 'return']","[0.6188113000243902, 0.7148385001346469, 0.9068227000534534, 0.9868005001917481, 1.186796500114724, 1.2668252000585198, 1.522679200163111]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,goblet,befall,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/ration_touch_edited.mp4,solemn,ration,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, solemn,"['s', 'o', 'l', 'e', 'm', 'n', 'return']","[0.33404610003344715, 0.4381136998999864, 0.6460138000547886, 0.7581378000322729, 0.8940745000727475, 1.0782792998943478, 1.3501524000894278]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,pursue,caviar,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/shrill_TT_3X.mp4,piston,shrill,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, piston,"['p', 'i', 's', 't', 'o', 'n', 'return']","[0.2853492998983711, 0.6052246000617743, 0.7333821000065655, 0.8293278999626637, 0.9012243000324816, 1.0613134000450373, 1.27740369993262]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,sonnet,hearth,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/herbal_touch_edited.mp4,hippie,herbal,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, hippie,"['h', 'i', 'p', 'p', 'i', 'e', 'return']","[0.466357400175184, 0.6823321001138538, 0.9147705000359565, 1.0422062000725418, 1.2502324001397938, 1.3940827001351863, 1.5387242999859154]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,mirage,shrewd,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/revoke_touch_edited.mp4,malady,revoke,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, malady,"['m', 'l', 'a', 'd', 'y', 'return']","[0.4107818999327719, 0.6346994999330491, 0.7869356998708099, 1.010713400086388, 1.0986844999715686, 1.4108084000181407]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,jargon,oppose,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/ghetto_touch_edited.mp4,frugal,ghetto,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, frugal,"['f', 'r', 'u', 'g', 'a', 'l', 'return']","[0.29931099992245436, 0.5464897998608649, 0.6828266000375152, 0.8107671998441219, 0.9707484999671578, 1.091095000039786, 1.4107605000026524]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,infirm,oblige,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/mystic_touch_edited.mp4,pulpit,mystic,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, pulpit,"['p', 'u', 'l', 'p', 'i', 't', 'return']","[0.3139113001525402, 0.6982201000209898, 0.9541110000573099, 1.1301206999924034, 1.3542931999545544, 1.6182036001700908, 1.8261231000069529]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,novice,primal,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/entail_touch_edited.mp4,parcel,entail,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, parcel,"['p', 'a', 'r', 'c', 'e', 'l', 'return']","[0.368914500111714, 0.49636770016513765, 0.5844005001708865, 0.8564103001262993, 0.9445436999667436, 1.0483133001253009, 1.2803414000663906]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/amount_TT_3X.mp4,video&audio/butter_TT_3X.mp4,plight,metric,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/eatery_touch_edited.mp4,ascend,eatery,2 = AOMIspec,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, ascend,"['a', 's', 'c', 'e', 'n', 'd', 'return']","[0.3577961998526007, 0.43002589978277683, 0.7422103998251259, 0.8298433998133987, 1.0301324999891222, 1.2784875999204814, 1.4865760998800397]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,quarry,septic,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/innate_touch_edited.mp4,neural,innate,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, neural,"['n', 'e', 'u', 'r', 'a', 'semicolon', 'backspace', 'l', 'return']","[0.3627414000220597, 0.49894220009446144, 0.7469743001274765, 0.8348906000610441, 0.9306924000848085, 1.0987939001061022, 1.6506084001157433, 2.026710200123489, 2.2106397999450564]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,musket,meddle,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/divert_TT_3X.mp4,kipper,divert,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, kipper,"['k', 'i', 'p', 'p', 'e', 'r', 'return']","[0.26411759993061423, 0.472051199991256, 0.7119559000711888, 0.8407745999284089, 0.8959590999875218, 0.9683348999824375, 1.08042800007388]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,impose,feudal,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/matron_TT_3X.mp4,subdue,matron,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, subdue,"['s', 'u', 'b', 'd', 'u', 'e', 'return']","[0.2907828998286277, 0.34691979992203414, 0.5789687000215054, 0.6745817000046372, 0.7795885999221355, 0.8746248998213559, 1.0345963998697698]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,legion,campus,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/allure_TT_3X.mp4,forage,allure,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, forage,"['f', 'o', 'r', 'a', 'g', 'e', 'return']","[0.30534560000523925, 0.40938760014250875, 0.5851545999757946, 0.673719400074333, 0.8493347000330687, 0.9213074001017958, 1.025348500115797]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,revolt,joiner,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/apathy_touch_edited.mp4,virile,apathy,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, virile,"['v', 'i', 'r', 'i', 'l', 'e', 'return']","[0.4204309000633657, 0.5646331999450922, 0.7487123999744654, 0.8284821999259293, 1.0684859999455512, 1.1324829999357462, 1.284541199915111]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,satire,mangle,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/warble_TT_3X.mp4,devise,warble,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, devise,"['d', 'e', 'v', 'i', 's', 'e', 'return']","[0.4537961999885738, 0.493538900045678, 0.733437400078401, 0.8294844999909401, 0.9814905999228358, 1.070102599915117, 1.1416901999618858]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,strife,delude,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/galley_touch_edited.mp4,tariff,galley,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, tariff,"['t', 'a', 'r', 'i', 'f', 'f', 'return']","[0.3303425998892635, 0.5543797998689115, 0.6344824999105185, 0.7302868999540806, 0.9228837999980897, 1.0345421999227256, 1.1784129999578]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,deduct,jailer,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/nettle_TT_3X.mp4,plasma,nettle,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, plasma,"['p', 'l', 'a', 's', 'm', 'a', 'return']","[0.36229089996777475, 0.45012559997849166, 0.610023699933663, 0.6662587998434901, 0.7861732000019401, 0.8900646998081356, 1.034026299836114]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,savant,induce,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/mussel_TT_3X.mp4,cortex,mussel,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, cortex,"['c', 'o', 'r', 't', 'e', 'x', 'return']","[0.21936210012063384, 0.29940380016341805, 0.5313703999854624, 0.5555434999987483, 0.7310651000589132, 1.0111208001617342, 1.147152200108394]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,ordain,patent,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/defame_touch_edited.mp4,covert,defame,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, covert,"['c', 'o', 'v', 'e', 'r', 't', 'return']","[0.3402994000352919, 0.45226529985666275, 0.6204574999865144, 0.8046210999600589, 0.8765374000649899, 1.0842865998856723, 1.196381099987775]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,sherry,zephyr,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/fusion_touch_edited.mp4,obsess,fusion,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, obsess,"['o', 'b', 's', 's', 'backspace', 'e', 's', 's', 'return']","[0.2927230999339372, 0.6608476999681443, 0.7891146000474691, 0.9333472999278456, 1.3092389998491853, 1.413199899950996, 1.5731670998502523, 1.7168107000179589, 1.876868899911642]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,murmur,cobble,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/export_TT_3X.mp4,cervix,export,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,23,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, cervix,"['c', 'e', 'r', 'v', 'i', 'x', 'return']","[0.2910903000738472, 0.4511128000449389, 0.5310579999350011, 0.8191718000452965, 0.9471152001060545, 1.0913893999531865, 1.355116599937901]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,coerce,clergy,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/portal_TT_3X.mp4,ritual,portal,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,24,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, ritual,"['r', 'i', 't', 'u', 'a', 'l', 'return']","[0.30599389993585646, 0.37002000003121793, 0.5459817000664771, 0.6421988001093268, 0.7784705001395196, 0.9221024999860674, 1.0981402001343668]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,"This is Section 2.

In this section, your task will be the same as before - that is, to type the word you see on the screen AFTER the typing prompt. However, rather than just seeing the word before typing, you will also see a video of someone typing different words to what you will need to type at different speeds. 

Press 'enter/return' to go to the next page.","This is Section 4. 

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. You will see a video again, like in Section 2, only this time, the video will show someone the same word that you must type at different speeds. 

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_layout.png,1.6,0.6,afford,19.5,20.5,video&audio/amount_touch_edited.mp4,video&audio/afford_touch_edited.mp4,vanity,hinder,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/breach_touch_edited.mp4,matrix,breach,1 = AOMIgen,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, matrix,"['m', 'a', 't', 'r', 'i', 'x', 'return']","[0.3832408001180738, 0.4628755000885576, 0.6632230000104755, 0.7909951000474393, 0.8788758001755923, 1.0952988001517951, 1.2789412001147866]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,convoy,output,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/uphold_TT_3X.mp4,debtor,uphold,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,26,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, debtor,"['d', 'e', 'b', 't', 'o', 'return']","[0.632432600017637, 0.6483491000253707, 0.8001706001814455, 0.9764965001959354, 1.0963877001777291, 1.3207420001272112]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,potent,tandem,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/origin_TT_3X.mp4,falter,origin,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,27,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, falter,"['f', 'a', 'l', 't', 'e', 'r', 'return']","[0.3308995000552386, 0.386545600136742, 0.4746662999968976, 0.6751644001342356, 0.8345451999921352, 0.9065493999514729, 0.9626126000657678]",,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
